t,susceptible,exposed,infected,recovered,dead
77,0.7976015210151672,0.011036518961191177,0.014195747673511505,0.17716625332832336,0.0
78,0.7936732769012451,0.013426724821329117,0.01174318790435791,0.18115687370300293,0.0
79,0.790908932685852,0.01373849157243967,0.01182632613927126,0.18352629244327545,0.0
80,0.788206934928894,0.01390476617962122,0.011784757487475872,0.18610355257987976,0.0
81,0.7864818572998047,0.011119656264781952,0.013676137663424015,0.1887223869562149,0.0
82,0.782137930393219,0.011535344645380974,0.014964770525693893,0.19136200845241547,0.0
83,0.7775445580482483,0.013364371843636036,0.01619105041027069,0.19290006160736084,0.0
84,0.772473156452179,0.015733793377876282,0.016440464183688164,0.19535261392593384,0.0
85,0.768025279045105,0.01845655031502247,0.015629872679710388,0.1978883147239685,0.0
86,0.7458067536354065,0.01872674748301506,0.01546359620988369,0.21983663737773895,0.0001662752329139039
87,0.7413796782493591,0.018477335572242737,0.016128698363900185,0.22384802997112274,0.0001662752329139039
88,0.7254796028137207,0.018996944651007652,0.01843576692044735,0.23683828115463257,0.0002494128420948982
89,0.7190572619438171,0.020846758037805557,0.020181655883789062,0.2396649569272995,0.0002494128420948982
90,0.7076674103736877,0.02217695862054825,0.023070689290761948,0.24677322804927826,0.0003117660526186228
91,0.704362690448761,0.02097146399319172,0.023070689290761948,0.2512834370136261,0.0003117660526186228
92,0.6994367837905884,0.018996944651007652,0.02406834065914154,0.2571862041950226,0.0003117660526186228
93,0.6955292820930481,0.01652360148727894,0.025294620543718338,0.2623407542705536,0.0003117660526186228
94,0.6866127848625183,0.014881633222103119,0.026791097596287727,0.27134039998054504,0.00037411926314234734
95,0.679795503616333,0.01635732688009739,0.025315403938293457,0.2781369090080261,0.00039490367635153234
96,0.6731860637664795,0.016461247578263283,0.024587949737906456,0.285369873046875,0.00039490367635153234
97,0.6664726734161377,0.016149481758475304,0.022821275517344475,0.29412010312080383,0.0004364724736660719
98,0.662773072719574,0.015484381467103958,0.02082597278058529,0.3004801273345947,0.0004364724736660719
99,0.6581797003746033,0.014715357683598995,0.01949577033519745,0.3071727156639099,0.0004364724736660719
100,0.6518405079841614,0.015713009983301163,0.02007773518562317,0.3119323253631592,0.0004364724736660719
101,0.6439839601516724,0.01590006984770298,0.019973812624812126,0.31970569491386414,0.0004364724736660719
102,0.6353376507759094,0.016170267015695572,0.01978675276041031,0.3282480835914612,0.0004572568868752569
103,0.6272733211517334,0.01635732688009739,0.0193294957280159,0.3365410566329956,0.0004988256841897964
104,0.6215367913246155,0.015837715938687325,0.019433418288826942,0.3426932692527771,0.0004988256841897964
105,0.6178163886070251,0.015650656074285507,0.019412633031606674,0.3466215133666992,0.0004988256841897964
106,0.6112485527992249,0.01648203283548355,0.019807538017630577,0.3519423007965088,0.0005196101265028119
107,0.6053041815757751,0.01590006984770298,0.02020244114100933,0.35807371139526367,0.0005196101265028119
108,0.5973438024520874,0.01666909269988537,0.020555775612592697,0.36487022042274475,0.000561178894713521
109,0.5903810262680054,0.01681458204984665,0.019350280985236168,0.3728722035884857,0.0005819633370265365
110,0.5803837180137634,0.016544384881854057,0.020389501005411148,0.38207969069480896,0.000602747721131891
111,0.5755617022514343,0.017043210566043854,0.01993224397301674,0.3868393301963806,0.0006235321052372456
112,0.5729636549949646,0.014486730098724365,0.020867541432380676,0.3910585641860962,0.0006235321052372456
113,0.5692848563194275,0.012844761833548546,0.020327147096395493,0.39691975712776184,0.0006235321052372456
114,0.5654397010803223,0.010620830580592155,0.021283229812979698,0.4020119309425354,0.000644316547550261
115,0.562031090259552,0.008854156360030174,0.02049342170357704,0.40797707438468933,0.000644316547550261
116,0.5571675300598145,0.008396899327635765,0.01945420168340206,0.4143370985984802,0.000644316547550261
117,0.5539875030517578,0.008376115001738071,0.01650281623005867,0.42048928141593933,0.000644316547550261
118,0.5522416234016418,0.007794151548296213,0.01508947741240263,0.4242304861545563,0.000644316547550261
119,0.551077663898468,0.006775715854018927,0.012803193181753159,0.4286991059780121,0.000644316547550261
